年月日,曜日,都道府県,平均気温(℃),降水量の合計(mm),"降水量の合計(mm)
現象なし情報",天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
2018/5/5,土,福岡県,19.3,0,1,曇一時晴,曇
2018/5/6,日,福岡県,18.2,28,0,雨一時曇,大雨後一時曇
2018/5/7,月,福岡県,17.9,49,0,雨後一時曇,曇
2018/5/8,火,福岡県,16,7,0,雨時々曇,曇時々雨
2018/5/9,水,福岡県,15.4,0,1,曇,晴一時曇
2018/5/10,木,福岡県,15.5,0,1,晴,快晴
2018/5/11,金,福岡県,19,0,1,晴後一時薄曇,晴時々薄曇
2018/5/12,土,福岡県,21.5,0,1,晴時々薄曇,曇一時晴
2018/5/13,日,福岡県,20.5,18,0,雨時々曇,晴一時曇
2018/5/14,月,福岡県,20.5,0,1,快晴,晴
2018/5/15,火,福岡県,23.4,0,1,晴時々薄曇,薄曇後一時晴
2018/5/16,水,福岡県,26,0,0,曇時々晴,曇一時晴
2018/5/17,木,福岡県,26.8,0,0,曇後晴,曇時々晴
2018/5/18,金,福岡県,24.1,7,0,雨時々曇,雨時々曇
2018/5/19,土,福岡県,17.1,0.5,0,曇一時雨,晴時々薄曇
2018/5/20,日,福岡県,18.6,0,0,晴後曇,曇一時雨
2018/5/21,月,福岡県,22.3,0,1,晴時々曇,曇後晴
2018/5/22,火,福岡県,23,0,0,晴一時曇,曇時々雨一時晴
2018/5/23,水,福岡県,20.8,4,0,曇時々雨,晴時々曇
2018/5/24,木,福岡県,21.1,0,1,晴後一時薄曇,曇
2018/5/25,金,福岡県,23,0,1,曇一時晴,曇後一時雨
2018/5/26,土,福岡県,22.3,4,0,晴時々雨一時曇,晴
2018/5/27,日,福岡県,22.7,0,1,薄曇一時晴,曇時々雨
2018/5/28,月,福岡県,22.7,1,0,曇時々雨,曇後一時雨
2018/5/29,火,福岡県,23.3,0,0,曇後一時晴,曇時々晴
2018/5/30,水,福岡県,24.6,0,0,曇後時々晴,曇
2018/5/31,木,福岡県,22.2,0,1,曇,曇後晴
2018/6/1,金,福岡県,21.5,0,1,快晴,快晴
2018/6/2,土,福岡県,23.3,0,1,晴後一時薄曇,薄曇時々晴
2018/6/3,日,福岡県,23.6,0,1,薄曇後時々晴,晴時々曇
2018/6/4,月,福岡県,24.4,0,1,薄曇時々晴,曇時々晴一時雨
2018/6/5,火,福岡県,20.8,41.5,0,大雨,雨
2018/6/6,水,福岡県,20.5,2,0,曇一時雨,曇
2018/6/7,木,福岡県,23.6,0,0,曇後一時晴,曇一時雨
2018/6/8,金,福岡県,24.6,1,0,曇時々雨,曇後一時晴
2018/6/9,土,福岡県,23.9,0,1,晴時々曇,曇
2018/6/10,日,福岡県,24.3,0,0,曇後一時晴,曇後一時雨
2018/6/11,月,福岡県,20.8,50,0,大雨後一時曇,雨後時々曇
2018/6/12,火,福岡県,20.4,1,0,晴時々曇,晴
2018/6/13,水,福岡県,21.2,0,1,晴,晴
2018/6/14,木,福岡県,22.4,0,1,曇一時晴,曇
2018/6/15,金,福岡県,22.5,0,1,晴時々曇,曇時々晴
2018/6/16,土,福岡県,22.1,0,1,晴一時曇,晴後一時薄曇
2018/6/17,日,福岡県,25.3,0,1,薄曇一時晴,曇後一時雨
2018/6/18,月,福岡県,24.5,5.5,0,曇一時雨,曇時々雨
2018/6/19,火,福岡県,23.5,17,0,雨時々曇,大雨時々曇
2018/6/20,水,福岡県,22.4,30.5,0,雨後曇,曇
2018/6/21,木,福岡県,24.3,0,0,曇時々晴,晴時々薄曇
2018/6/22,金,福岡県,24.7,0,1,曇一時晴,曇後一時雨
2018/6/23,土,福岡県,22.3,1.5,0,雨後曇,晴一時曇
2018/6/24,日,福岡県,24.3,0,1,晴,晴
2018/6/25,月,福岡県,25.7,0,1,晴後薄曇,薄曇後一時雨
2018/6/26,火,福岡県,27.6,9,0,曇一時雨,曇
2018/6/27,水,福岡県,28.8,3,0,曇一時雨、雷を伴う,曇後一時晴
2018/6/28,木,福岡県,28.9,0,0,曇,曇時々雨、雷を伴う
2018/6/29,金,福岡県,25.4,66,0,大雨時々曇、雷を伴う,曇後雨、雷を伴う
2018/6/30,土,福岡県,24.8,39,0,曇時々雨、雷を伴う,曇一時雨
2018/4/1,日,兵庫県,16.2,0,1,晴一時曇,薄曇後一時晴
2018/4/2,月,兵庫県,17.9,0,1,晴,晴
2018/4/3,火,兵庫県,18.5,0,1,晴,晴
2018/4/4,水,兵庫県,18.3,0,0,晴,雨後曇
2018/4/5,木,兵庫県,14.6,0,0,曇,曇
2018/4/6,金,兵庫県,16.9,7,0,雨一時曇,雨時々曇後晴
2018/4/7,土,兵庫県,10.5,0.5,0,曇一時雨,晴一時雨
2018/4/8,日,兵庫県,8.9,0,0,晴,晴
2018/4/9,月,兵庫県,11.9,0,0,曇一時晴,曇後晴
2018/4/10,火,兵庫県,15.1,0,1,晴,曇
2018/4/11,水,兵庫県,17.6,0,0,曇後時々雨,曇時々晴
2018/4/12,木,兵庫県,17.9,0,0,薄曇,薄曇後晴
2018/4/13,金,兵庫県,15,0,1,晴一時薄曇,曇時々晴
2018/4/14,土,兵庫県,14.8,24.5,0,曇後雨,大雨後一時曇
2018/4/15,日,兵庫県,15,13.5,0,雨後曇一時晴,晴
2018/4/16,月,兵庫県,13.7,0,1,晴後薄曇,曇
2018/4/17,火,兵庫県,14.9,2.5,0,曇,雨
2018/4/18,水,兵庫県,16.1,2.5,0,晴一時曇,快晴
2018/4/19,木,兵庫県,17.4,0,1,快晴,快晴
2018/4/20,金,兵庫県,19.3,0,1,快晴,快晴
2018/4/21,土,兵庫県,19.7,0,1,快晴,快晴
2018/4/22,日,兵庫県,19.8,0,1,晴後薄曇,晴
2018/4/23,月,兵庫県,20.2,0,1,薄曇一時晴,曇
2018/4/24,火,兵庫県,19.2,46,0,雨,大雨
2018/4/25,水,兵庫県,17.2,40.5,0,曇,曇
2018/4/26,木,兵庫県,16.4,0,1,薄曇,曇
2018/4/27,金,兵庫県,17.9,0,0,曇,晴
2018/4/28,土,兵庫県,17.6,0,1,快晴,快晴
2018/4/29,日,兵庫県,19.4,0,1,快晴,晴後薄曇
2018/4/30,月,兵庫県,19.6,0,1,曇後一時晴,晴
2018/5/1,火,兵庫県,20.5,0,1,晴時々薄曇,薄曇
2018/5/2,水,兵庫県,20.2,21.5,0,雨時々曇,雨時々曇
2018/5/3,木,兵庫県,18.9,0.5,0,薄曇後一時晴,晴
2018/5/4,金,兵庫県,15.9,0,0,晴,快晴
2018/5/5,土,兵庫県,18.3,0,1,晴後一時薄曇,薄曇後晴
2018/5/6,日,兵庫県,18.7,28,0,曇後時々雨,大雨
2018/5/7,月,兵庫県,18.4,56.5,0,雨,曇一時雨
2018/5/8,火,兵庫県,17.9,7,0,曇後雨,雨
2018/5/9,水,兵庫県,16.1,3.5,0,曇一時雨後晴,晴
2018/5/10,木,兵庫県,14.5,0,1,曇後晴,晴
2018/5/11,金,兵庫県,16.7,0,1,晴後薄曇,薄曇後晴
2018/5/12,土,兵庫県,19.1,0,1,薄曇後一時晴,曇
2018/5/13,日,兵庫県,18.4,67.5,0,大雨,曇一時雨
2018/5/14,月,兵庫県,20.9,0,1,晴,快晴
2018/5/15,火,兵庫県,21.3,0,1,晴一時薄曇,薄曇
2018/5/16,水,兵庫県,22.8,0,0,薄曇,曇
2018/5/17,木,兵庫県,23.4,0,1,薄曇,曇一時晴
2018/5/18,金,兵庫県,23.4,18,0,曇,雨時々曇
2018/5/19,土,兵庫県,17.2,0.5,0,曇後一時晴,曇一時晴
2018/5/20,日,兵庫県,18.2,0,1,薄曇一時晴,曇
2018/5/21,月,兵庫県,21.1,0,1,晴,晴
2018/5/22,火,兵庫県,21,0,1,晴後一時薄曇,曇一時晴
2018/5/23,水,兵庫県,19.3,12.5,0,雨,雨後曇
2018/5/24,木,兵庫県,21.1,0,0,快晴,薄曇一時晴
2018/5/25,金,兵庫県,23,0,1,晴時々薄曇,薄曇
2018/5/26,土,兵庫県,22.5,0,1,曇後一時晴,快晴
2018/5/27,日,兵庫県,22.1,0,1,晴後曇,薄曇
2018/5/28,月,兵庫県,22.9,0,1,曇,曇
2018/5/29,火,兵庫県,23.5,0,0,曇後一時雨,曇後一時雨
2018/5/30,水,兵庫県,20.5,15.5,0,雨,曇一時晴
2018/5/31,木,兵庫県,19.8,9.5,0,曇一時雨,曇後晴
2018/6/1,金,兵庫県,21.5,0,1,晴,快晴
2018/6/2,土,兵庫県,21.2,0,1,快晴,晴
2018/6/3,日,兵庫県,22.5,0,1,晴後薄曇,薄曇
2018/6/4,月,兵庫県,23,0,1,晴一時薄曇,薄曇後晴
2018/6/5,火,兵庫県,22.3,9,0,薄曇後時々雨,雨
2018/6/6,水,兵庫県,20.1,32.5,0,雨,雨時々曇
2018/6/7,木,兵庫県,22.7,2,0,薄曇,曇
2018/6/8,金,兵庫県,23.1,18.5,0,曇時々雨,曇一時雨、雷を伴う
2018/6/9,土,兵庫県,24.6,0,0,晴一時曇,晴後曇
2018/6/10,日,兵庫県,22.6,3,0,曇一時雨,雨後時々曇
2018/6/11,月,兵庫県,24.1,4,0,曇時々雨,曇時々雨
2018/6/12,火,兵庫県,21.6,0.5,0,曇時々雨,晴一時曇
2018/6/13,水,兵庫県,21,0,1,晴,快晴
2018/6/14,木,兵庫県,21.5,0,1,曇一時晴,曇後時々雨
2018/6/15,金,兵庫県,21.6,4.5,0,雨後時々曇,曇後一時晴
2018/6/16,土,兵庫県,20.8,0,1,晴,快晴
2018/6/17,日,兵庫県,22.3,0,1,薄曇一時晴,曇後一時雨
2018/6/18,月,兵庫県,24.4,0,0,曇一時雨,曇後一時晴
2018/6/19,火,兵庫県,22.6,3.5,0,曇後雨,雨
2018/6/20,水,兵庫県,21.8,47,0,雨,雨後曇
2018/6/21,木,兵庫県,22.8,0,0,曇,薄曇後晴
2018/6/22,金,兵庫県,24,0,1,薄曇,薄曇
2018/6/23,土,兵庫県,22.2,17,0,曇時々雨,曇後雨
2018/6/24,日,兵庫県,23.5,1,0,曇後時々晴,薄曇後晴
2018/6/25,月,兵庫県,25.3,0,1,晴,薄曇後晴
2018/6/26,火,兵庫県,26.3,0.5,0,晴後曇一時雨,曇一時雨
2018/6/27,水,兵庫県,25.9,0.5,0,曇,曇一時雨
2018/6/28,木,兵庫県,25.9,0,0,曇,曇
2018/6/29,金,兵庫県,25.1,59.5,0,曇後時々大雨、雷を伴う,雨時々曇、雷を伴う
2018/6/30,土,兵庫県,26.7,12.5,0,薄曇後一時雨、雷を伴う,曇一時雨後晴、雷を伴う
2018/4/1,日,静岡県,15.4,0,1,晴,薄曇後晴
2018/4/2,月,静岡県,16.6,0,1,晴,晴一時曇
2018/4/3,火,静岡県,17.3,0,1,曇後晴,快晴
2018/4/4,水,静岡県,19.7,0,1,快晴,晴
2018/4/5,木,静岡県,16,0.5,0,曇,曇時々雨
2018/4/6,金,静岡県,17.9,55.5,0,曇後雨,大雨後曇
2018/4/7,土,静岡県,15.3,0,0,晴時々曇,快晴
2018/4/8,日,静岡県,11.3,0,1,快晴,快晴
2018/4/9,月,静岡県,12.7,0,1,晴後薄曇,晴
2018/4/10,火,静岡県,13.1,0,1,快晴,晴後曇
2018/4/11,水,静岡県,15.4,7,0,曇時々雨,雨時々曇、雷を伴う
2018/4/12,木,静岡県,20.9,5.5,0,薄曇,薄曇後晴
2018/4/13,金,静岡県,15.9,0,1,晴,晴後曇
2018/4/14,土,静岡県,14.4,15,0,曇一時雨,大雨
2018/4/15,日,静岡県,18.9,109.5,0,曇一時大雨後晴,晴後一時曇
2018/4/16,月,静岡県,15.1,0,1,曇時々晴,曇
2018/4/17,火,静岡県,14.3,14.5,0,曇後雨,雨
2018/4/18,水,静岡県,15.5,14,0,雨後曇,曇
2018/4/19,木,静岡県,16.3,0,0,曇一時晴,快晴
2018/4/20,金,静岡県,17.2,0,1,快晴,快晴
2018/4/21,土,静岡県,18.5,0,1,快晴,晴後一時曇
2018/4/22,日,静岡県,18.3,0,1,晴,晴後一時曇
2018/4/23,月,静岡県,18.3,0,1,曇後一時晴,曇
2018/4/24,火,静岡県,18.4,16.5,0,曇後雨,大雨
2018/4/25,水,静岡県,21.3,103,0,大雨後晴,曇
2018/4/26,木,静岡県,18.6,0,1,曇時々晴,薄曇
2018/4/27,金,静岡県,18.3,0,1,曇,晴一時曇
2018/4/28,土,静岡県,18.4,0,1,快晴,快晴
2018/4/29,日,静岡県,18.6,0,1,快晴,快晴
2018/4/30,月,静岡県,20.1,0,1,曇,曇後晴
2018/5/1,火,静岡県,20.2,0,1,晴後薄曇,薄曇一時晴
2018/5/2,水,静岡県,18.7,41.5,0,曇後時々雨,大雨、雷を伴う
2018/5/3,木,静岡県,22,84.5,0,曇一時雨,曇後一時晴
2018/5/4,金,静岡県,18.7,0,1,快晴,快晴
2018/5/5,土,静岡県,18.8,0,1,快晴,晴
2018/5/6,日,静岡県,20.3,0,0,晴後曇,曇後雨
2018/5/7,月,静岡県,16.9,46,0,大雨,雨
2018/5/8,火,静岡県,15.2,25,0,雨時々曇,大雨
2018/5/9,水,静岡県,14.7,27,0,曇時々雨,曇一時雨
2018/5/10,木,静岡県,16.4,0,1,晴一時曇,晴
2018/5/11,金,静岡県,16.5,0,1,薄曇一時晴,薄曇後晴
2018/5/12,土,静岡県,18.2,0,1,薄曇後晴,晴後時々曇
2018/5/13,日,静岡県,17.8,88.5,0,曇後大雨,雨時々曇
2018/5/14,月,静岡県,21.5,0,0,晴,晴
2018/5/15,火,静岡県,21.8,0,1,晴,晴
2018/5/16,水,静岡県,22.5,0,1,晴時々薄曇,曇
2018/5/17,木,静岡県,22.6,0,1,薄曇,薄曇
2018/5/18,金,静岡県,23.8,0,1,曇一時晴,曇後雨
2018/5/19,土,静岡県,24,1,0,晴,曇時々雨
2018/5/20,日,静岡県,18.6,0,0,曇後晴,曇一時晴
2018/5/21,月,静岡県,19.1,0,1,薄曇一時晴,薄曇後晴
2018/5/22,火,静岡県,20.2,0,1,晴,薄曇
2018/5/23,水,静岡県,18.9,13,0,雨時々曇,雨後曇
2018/5/24,木,静岡県,21.1,3,0,晴,晴後薄曇
2018/5/25,金,静岡県,21.8,0,1,薄曇後晴,曇
2018/5/26,土,静岡県,21.7,0,1,曇,晴一時曇
2018/5/27,日,静岡県,21.7,0,1,晴後薄曇,曇
2018/5/28,月,静岡県,23.2,0,1,曇,曇
2018/5/29,火,静岡県,22.4,0,1,曇,曇
2018/5/30,水,静岡県,21.3,0.5,0,曇時々雨,曇一時雨
2018/5/31,木,静岡県,18.9,4.5,0,雨時々曇,曇後晴
2018/6/1,金,静岡県,20.5,0,0,晴後一時雨,曇一時雨後晴
2018/6/2,土,静岡県,21.3,0,1,快晴,晴一時曇
2018/6/3,日,静岡県,22.2,0,1,晴,晴
2018/6/4,月,静岡県,22.7,0,1,快晴,快晴
2018/6/5,火,静岡県,22.5,0,0,晴後薄曇,雨時々曇
2018/6/6,水,静岡県,20.1,39,0,雨,雨一時曇
2018/6/7,木,静岡県,21.9,2,0,曇後晴,曇
2018/6/8,金,静岡県,23,26.5,0,曇,大雨後曇、雷を伴う
2018/6/9,土,静岡県,24.9,4.5,0,晴一時曇,晴一時曇
2018/6/10,日,静岡県,22.7,0,0,曇時々雨,雨時々曇
2018/6/11,月,静岡県,25.1,1.5,0,雨後曇一時晴,曇後晴
2018/6/12,火,静岡県,26.3,0,1,快晴,晴後曇
2018/6/13,水,静岡県,23.3,0,0,曇一時晴,曇後晴
2018/6/14,木,静岡県,23.1,0,0,曇時々晴,曇一時雨
2018/6/15,金,静岡県,21.9,2.5,0,雨後曇,曇後一時雨
2018/6/16,土,静岡県,19.4,1,0,曇後一時雨,雨後曇
2018/6/17,日,静岡県,20.7,0,0,晴時々曇,曇時々晴
2018/6/18,月,静岡県,20.2,30,0,大雨後一時曇,晴一時曇
2018/6/19,火,静岡県,22.4,0,0,曇一時晴,曇後雨
2018/6/20,水,静岡県,20.5,103.5,0,大雨,大雨後時々曇
2018/6/21,木,静岡県,23.1,25.5,0,曇一時雨,晴時々薄曇
2018/6/22,金,静岡県,23,0,1,晴時々薄曇,晴後曇
2018/6/23,土,静岡県,20.1,28,0,雨一時曇,曇時々雨
2018/6/24,日,静岡県,21.6,8,0,曇一時雨,曇後晴
2018/6/25,月,静岡県,24.6,0,1,快晴,晴後曇
2018/6/26,火,静岡県,25.5,1,0,晴後一時曇,曇時々雨
2018/6/27,水,静岡県,26.5,0,0,曇時々雨,曇一時雨
2018/6/28,木,静岡県,27.5,0,0,曇一時雨,曇一時雨
2018/6/29,金,静岡県,26,5.5,0,曇時々雨,曇時々雨
2018/6/30,土,静岡県,26.9,1,0,曇一時雨後晴,曇時々雨
