,H.ì`ï[î‘çÜ,H.èWåvëŒè€âcã∆îNåéì˙,H.ójì˙,H.ì`ï[î≠çsì˙,H.ì`ï[èàóùì˙,H.ÉeÅ[ÉuÉãî‘çÜ,H.ãqêîÅiçáåvÅj,H.ãqêîÅiíjÅj,H.ãqêîÅièóÅj,H.ëçè§ïiêî,H.ì`ï[ã‡äz,H.ì`ï[ê≈äz,C.ãqëw
142,No:201900300000515,2018/4/12,ñÿ,2018/4/12 19:22,2018/4/12 22:33,000000017:å@ÇËÇ≤ÇΩÇ¬5,4,4,0,32,16449,1209,ìoò^Ç»Çµ
143,No:201900300000516,2018/4/12,ñÿ,2018/4/12 19:27,2018/4/12 20:34,000000006:ÉJÉEÉìÉ^Å[6,2,1,1,4,4027,297,ìoò^Ç»Çµ
144,No:201900300000517,2018/4/12,ñÿ,2018/4/12 19:56,2018/4/12 20:52,000000018:å@ÇËÇ≤ÇΩÇ¬6,3,1,2,14,8323,611,ìoò^Ç»Çµ
145,No:201900300000518,2018/4/12,ñÿ,2018/4/12 20:22,2018/4/12 22:17,000000013:å@ÇËÇ≤ÇΩÇ¬1,1,1,0,12,11746,866,ìoò^Ç»Çµ
146,No:201900300000519,2018/4/13,ã‡,2018/4/13 18:17,2018/4/13 18:51,000000010:ÉeÅ[ÉuÉã1,2,1,1,6,3583,263,ìoò^Ç»Çµ
147,No:201900300000520,2018/4/13,ã‡,2018/4/13 18:27,2018/4/13 20:12,000000012:ÉeÅ[ÉuÉã3,5,5,0,10,25000,1850,ìoò^Ç»Çµ
148,No:201900300000521,2018/4/13,ã‡,2018/4/13 18:29,2018/4/13 19:38,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,10,6530,480,ìoò^Ç»Çµ
149,No:201900300000522,2018/4/13,ã‡,2018/4/13 18:32,2018/4/13 20:54,000000001:ÉJÉEÉìÉ^Å[1,3,3,0,26,11052,810,ìoò^Ç»Çµ
150,No:201900300000523,2018/4/13,ã‡,2018/4/13 18:57,2018/4/13 20:29,000000006:ÉJÉEÉìÉ^Å[6,2,2,0,17,10296,756,ìoò^Ç»Çµ
151,No:201900300000524,2018/4/13,ã‡,2018/4/13 18:59,2018/4/13 21:13,000000017:å@ÇËÇ≤ÇΩÇ¬5,13,8,5,25,63500,4699,ìoò^Ç»Çµ
152,No:201900300000525,2018/4/13,ã‡,2018/4/13 19:07,2018/4/13 23:00,000000020:å@ÇËÇ≤ÇΩÇ¬8,6,2,4,39,28951,2131,ìoò^Ç»Çµ
153,No:201900300000526,2018/4/13,ã‡,2018/4/13 19:08,2018/4/13 20:58,000000013:å@ÇËÇ≤ÇΩÇ¬1,21,10,11,21,84000,6216,ìoò^Ç»Çµ
154,No:201900300000527,2018/4/13,ã‡,2018/4/13 19:36,2018/4/13 22:47,000000008:ÉJÉEÉìÉ^Å[8,2,1,1,15,10720,790,ìoò^Ç»Çµ
155,No:201900300000528,2018/4/13,ã‡,2018/4/13 21:02,2018/4/13 23:07,000000010:ÉeÅ[ÉuÉã1,9,3,6,35,28782,2122,ìoò^Ç»Çµ
156,No:201900300000529,2018/4/13,ã‡,2018/4/13 21:10,2018/4/13 22:45,000000003:ÉJÉEÉìÉ^Å[3,2,2,0,14,5879,431,ìoò^Ç»Çµ
157,No:201900300000530,2018/4/14,ìy,2018/4/14 17:31,2018/4/14 19:13,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,13,7857,577,ìoò^Ç»Çµ
158,No:201900300000531,2018/4/14,ìy,2018/4/14 17:36,2018/4/14 18:59,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,16,9282,682,ìoò^Ç»Çµ
159,No:201900300000532,2018/4/14,ìy,2018/4/14 18:02,2018/4/14 19:54,000000021:å@ÇËÇ≤ÇΩÇ¬9,3,3,0,19,11818,868,ìoò^Ç»Çµ
160,No:201900300000533,2018/4/14,ìy,2018/4/14 18:15,2018/4/14 20:21,000000002:ÉJÉEÉìÉ^Å[2,2,2,0,18,10944,804,ìoò^Ç»Çµ
161,No:201900300000534,2018/4/14,ìy,2018/4/14 18:20,2018/4/14 20:27,000000019:å@ÇËÇ≤ÇΩÇ¬7,3,3,0,9,8594,634,ìoò^Ç»Çµ
162,No:201900300000535,2018/4/14,ìy,2018/4/14 18:29,2018/4/14 19:43,000000010:ÉeÅ[ÉuÉã1,2,2,0,12,6734,494,ìoò^Ç»Çµ
163,No:201900300000536,2018/4/14,ìy,2018/4/14 18:54,2018/4/14 22:44,000000016:å@ÇËÇ≤ÇΩÇ¬4,9,9,0,58,31305,2295,ìoò^Ç»Çµ
164,No:201900300000537,2018/4/14,ìy,2018/4/14 18:55,2018/4/14 21:57,000000013:å@ÇËÇ≤ÇΩÇ¬1,8,4,4,69,38932,2862,ìoò^Ç»Çµ
165,No:201900300000538,2018/4/14,ìy,2018/4/14 18:59,2018/4/14 21:59,000000012:ÉeÅ[ÉuÉã3,3,2,1,21,14096,1036,ìoò^Ç»Çµ
166,No:201900300000539,2018/4/14,ìy,2018/4/14 19:04,2018/4/14 19:49,000000006:ÉJÉEÉìÉ^Å[6,2,1,1,11,8010,590,ìoò^Ç»Çµ
167,No:201900300000540,2018/4/14,ìy,2018/4/14 19:31,2018/4/14 21:33,000000020:å@ÇËÇ≤ÇΩÇ¬8,6,6,0,27,27712,2050,ìoò^Ç»Çµ
168,No:201900300000541,2018/4/14,ìy,2018/4/14 20:11,2018/4/14 22:30,000000009:ÉJÉEÉìÉ^Å[9,2,2,0,9,8065,595,ìoò^Ç»Çµ
169,No:201900300000542,2018/4/14,ìy,2018/4/14 20:12,2018/4/14 21:55,000000021:å@ÇËÇ≤ÇΩÇ¬9,2,1,1,17,11322,832,ìoò^Ç»Çµ
170,No:201900300000543,2018/4/14,ìy,2018/4/14 20:14,2018/4/14 22:41,000000017:å@ÇËÇ≤ÇΩÇ¬5,5,4,1,30,16986,1246,ìoò^Ç»Çµ
171,No:201900300000544,2018/4/14,ìy,2018/4/14 20:26,2018/4/14 22:57,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,18,13503,993,ìoò^Ç»Çµ
172,No:201900300000545,2018/4/14,ìy,2018/4/14 20:29,2018/4/14 23:03,000000010:ÉeÅ[ÉuÉã1,2,1,1,17,9648,708,ìoò^Ç»Çµ
173,No:201900300000546,2018/4/14,ìy,2018/4/14 20:35,2018/4/14 22:21,000000011:ÉeÅ[ÉuÉã2,2,1,1,15,8234,604,ìoò^Ç»Çµ
174,No:201900300000547,2018/4/14,ìy,2018/4/14 20:48,2018/4/14 23:00,000000018:å@ÇËÇ≤ÇΩÇ¬6,4,4,0,23,11257,827,ìoò^Ç»Çµ
175,No:201900300000548,2018/4/15,ì˙,2018/4/15 18:01,2018/4/15 22:16,000000014:å@ÇËÇ≤ÇΩÇ¬2,3,3,0,25,19377,1427,ìoò^Ç»Çµ
176,No:201900300000549,2018/4/15,ì˙,2018/4/15 18:27,2018/4/15 19:19,000000015:å@ÇËÇ≤ÇΩÇ¬3,2,1,1,12,6961,511,ìoò^Ç»Çµ
177,No:201900300000550,2018/4/15,ì˙,2018/4/15 18:40,2018/4/15 19:59,000000016:å@ÇËÇ≤ÇΩÇ¬4,2,0,2,11,8085,595,ìoò^Ç»Çµ
178,No:201900300000551,2018/4/15,ì˙,2018/4/15 18:54,2018/4/15 19:47,000000012:ÉeÅ[ÉuÉã3,2,0,2,8,4533,333,ìoò^Ç»Çµ
179,No:201900300000552,2018/4/15,ì˙,2018/4/15 19:03,2018/4/15 21:03,000000018:å@ÇËÇ≤ÇΩÇ¬6,8,8,0,71,40831,3001,ìoò^Ç»Çµ
180,No:201900300000553,2018/4/15,ì˙,2018/4/15 19:47,2018/4/15 20:37,000000015:å@ÇËÇ≤ÇΩÇ¬3,3,1,2,15,9465,695,ìoò^Ç»Çµ
181,No:201900300000554,2018/4/15,ì˙,2018/4/15 20:15,2018/4/15 22:12,000000017:å@ÇËÇ≤ÇΩÇ¬5,5,5,0,17,8222,602,ìoò^Ç»Çµ
182,No:201900300000555,2018/4/16,åé,2018/4/16 17:52,2018/4/16 20:10,000000017:å@ÇËÇ≤ÇΩÇ¬5,18,18,0,24,78368,5798,ìoò^Ç»Çµ
183,No:201900300000556,2018/4/16,åé,2018/4/16 18:20,2018/4/16 20:14,000000014:å@ÇËÇ≤ÇΩÇ¬2,12,12,0,12,48000,3552,ìoò^Ç»Çµ
184,No:201900300000557,2018/4/16,åé,2018/4/16 18:49,2018/4/16 21:47,000000010:ÉeÅ[ÉuÉã1,2,1,1,20,12476,916,óàìXìÆã@:ÇÆÇÈÇ»Ç—
185,No:201900300000558,2018/4/16,åé,2018/4/16 19:22,2018/4/16 20:32,000000009:ÉJÉEÉìÉ^Å[9,3,0,3,14,7273,533,ìoò^Ç»Çµ
186,No:201900300000559,2018/4/16,åé,2018/4/16 19:35,2018/4/16 20:50,000000012:ÉeÅ[ÉuÉã3,2,1,1,9,7773,573,óàìXìÆã@:ÉzÉbÉgÉyÉbÉpÅ[
187,No:201900300000560,2018/4/16,åé,2018/4/16 19:51,2018/4/16 21:12,000000005:ÉJÉEÉìÉ^Å[5,2,1,1,14,9293,683,ìoò^Ç»Çµ
188,No:201900300000561,2018/4/16,åé,2018/4/16 20:33,2018/4/16 22:52,000000021:å@ÇËÇ≤ÇΩÇ¬9,3,3,0,28,18232,1342,ìoò^Ç»Çµ
189,No:201900300000562,2018/4/16,åé,2018/4/16 21:54,2018/4/16 22:51,000000010:ÉeÅ[ÉuÉã1,3,3,0,13,6844,504,ìoò^Ç»Çµ
190,No:201900300000563,2018/4/17,âŒ,2018/4/17 17:14,2018/4/17 18:00,000000012:ÉeÅ[ÉuÉã3,2,2,0,7,4869,359,ìoò^Ç»Çµ
191,No:201900300000564,2018/4/17,âŒ,2018/4/17 17:36,2018/4/17 21:54,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,2,0,22,12681,931,ìoò^Ç»Çµ
192,No:201900300000565,2018/4/17,âŒ,2018/4/17 18:04,2018/4/17 19:44,000000012:ÉeÅ[ÉuÉã3,2,2,0,11,7944,584,óàìXìÆã@:àÍå©
193,No:201900300000566,2018/4/17,âŒ,2018/4/17 18:05,2018/4/17 18:46,000000018:å@ÇËÇ≤ÇΩÇ¬6,6,4,2,17,9832,722,óàìXìÆã@:àÍå©
194,No:201900300000567,2018/4/17,âŒ,2018/4/17 18:15,2018/4/17 19:12,000000015:å@ÇËÇ≤ÇΩÇ¬3,2,1,1,8,4220,310,óàìXìÆã@:àÍå©
195,No:201900300000568,2018/4/17,âŒ,2018/4/17 18:33,2018/4/17 19:41,000000009:ÉJÉEÉìÉ^Å[9,2,2,0,11,8830,650,ìoò^Ç»Çµ
196,No:201900300000569,2018/4/17,âŒ,2018/4/17 18:48,2018/4/17 21:37,000000016:å@ÇËÇ≤ÇΩÇ¬4,2,2,0,13,7165,525,ìoò^Ç»Çµ
197,No:201900300000570,2018/4/17,âŒ,2018/4/17 18:49,2018/4/17 20:57,000000004:ÉJÉEÉìÉ^Å[4,1,1,0,7,4425,325,ìoò^Ç»Çµ
198,No:201900300000571,2018/4/17,âŒ,2018/4/17 20:01,2018/4/17 21:31,000000010:ÉeÅ[ÉuÉã1,3,3,0,25,15207,1117,ìoò^Ç»Çµ
199,No:201900300000572,2018/4/17,âŒ,2018/4/17 20:10,2018/4/17 22:25,000000015:å@ÇËÇ≤ÇΩÇ¬3,4,4,0,20,11170,820,ìoò^Ç»Çµ
200,No:201900300000573,2018/4/18,êÖ,2018/4/18 18:10,2018/4/18 18:56,000000005:ÉJÉEÉìÉ^Å[5,1,1,0,6,4264,314,ìoò^Ç»Çµ
201,No:201900300000574,2018/4/18,êÖ,2018/4/18 18:14,2018/4/18 20:51,000000016:å@ÇËÇ≤ÇΩÇ¬4,7,7,0,7,24500,1813,ìoò^Ç»Çµ
202,No:201900300000575,2018/4/18,êÖ,2018/4/18 18:29,2018/4/18 20:35,000000010:ÉeÅ[ÉuÉã1,8,8,0,65,38762,2852,ìoò^Ç»Çµ
203,No:201900300000576,2018/4/18,êÖ,2018/4/18 18:29,2018/4/18 22:01,000000018:å@ÇËÇ≤ÇΩÇ¬6,8,6,2,8,32000,2368,ìoò^Ç»Çµ
204,No:201900300000577,2018/4/18,êÖ,2018/4/18 18:40,2018/4/18 21:06,000000020:å@ÇËÇ≤ÇΩÇ¬8,5,4,1,5,17500,1295,ìoò^Ç»Çµ
205,No:201900300000578,2018/4/18,êÖ,2018/4/18 19:06,2018/4/18 23:03,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,18,10642,782,ìoò^Ç»Çµ
206,No:201900300000579,2018/4/18,êÖ,2018/4/18 19:06,2018/4/18 19:56,000000006:ÉJÉEÉìÉ^Å[6,2,2,0,9,7654,564,ìoò^Ç»Çµ
207,No:201900300000580,2018/4/18,êÖ,2018/4/18 19:09,2018/4/18 21:53,000000021:å@ÇËÇ≤ÇΩÇ¬9,2,1,1,19,12877,947,ìoò^Ç»Çµ
208,No:201900300000581,2018/4/18,êÖ,2018/4/18 19:13,2018/4/18 20:54,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,11,8463,623,ìoò^Ç»Çµ
209,No:201900300000582,2018/4/18,êÖ,2018/4/18 19:26,2018/4/18 22:29,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,1,1,11,6748,496,ìoò^Ç»Çµ
210,No:201900300000583,2018/4/18,êÖ,2018/4/18 19:33,2018/4/18 21:11,000000001:ÉJÉEÉìÉ^Å[1,2,2,0,16,9345,685,ìoò^Ç»Çµ
211,No:201900300000584,2018/4/18,êÖ,2018/4/18 19:57,2018/4/18 22:09,000000017:å@ÇËÇ≤ÇΩÇ¬5,2,2,0,8,5722,422,ìoò^Ç»Çµ
212,No:201900300000585,2018/4/18,êÖ,2018/4/18 20:31,2018/4/18 22:21,000000013:å@ÇËÇ≤ÇΩÇ¬1,4,4,0,34,20357,1497,ìoò^Ç»Çµ
213,No:201900300000586,2018/4/18,êÖ,2018/4/18 21:33,2018/4/18 22:16,000000010:ÉeÅ[ÉuÉã1,2,1,1,9,5537,407,ìoò^Ç»Çµ
214,No:201900300000587,2018/4/19,ñÿ,2018/4/19 18:02,2018/4/19 19:31,000000016:å@ÇËÇ≤ÇΩÇ¬4,11,11,0,22,49500,3663,ìoò^Ç»Çµ
215,No:201900300000588,2018/4/19,ñÿ,2018/4/19 18:07,2018/4/19 19:02,000000009:ÉJÉEÉìÉ^Å[9,1,1,0,5,2774,204,ìoò^Ç»Çµ
216,No:201900300000589,2018/4/19,ñÿ,2018/4/19 18:08,2018/4/19 19:48,000000013:å@ÇËÇ≤ÇΩÇ¬1,4,3,1,11,24331,1799,ìoò^Ç»Çµ
217,No:201900300000590,2018/4/19,ñÿ,2018/4/19 18:35,2018/4/19 21:17,000000017:å@ÇËÇ≤ÇΩÇ¬5,14,14,0,14,63000,4662,ìoò^Ç»Çµ
218,No:201900300000591,2018/4/19,ñÿ,2018/4/19 19:43,2018/4/19 22:12,000000021:å@ÇËÇ≤ÇΩÇ¬9,2,2,0,14,7921,581,ìoò^Ç»Çµ
219,No:201900300000592,2018/4/19,ñÿ,2018/4/19 21:03,2018/4/19 22:22,000000009:ÉJÉEÉìÉ^Å[9,2,2,0,11,6000,440,ìoò^Ç»Çµ
220,No:201900300000593,2018/4/20,ã‡,2018/4/20 17:52,2018/4/20 19:57,000000006:ÉJÉEÉìÉ^Å[6,2,2,0,9,9220,680,ìoò^Ç»Çµ
221,No:201900300000594,2018/4/20,ã‡,2018/4/20 18:15,2018/4/20 20:34,000000016:å@ÇËÇ≤ÇΩÇ¬4,12,8,4,12,60000,4440,ìoò^Ç»Çµ
222,No:201900300000595,2018/4/20,ã‡,2018/4/20 18:27,2018/4/20 20:47,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,16,10048,738,ìoò^Ç»Çµ
223,No:201900300000596,2018/4/20,ã‡,2018/4/20 18:41,2018/4/20 20:41,000000020:å@ÇËÇ≤ÇΩÇ¬8,11,5,6,26,57592,4262,ìoò^Ç»Çµ
224,No:201900300000597,2018/4/20,ã‡,2018/4/20 18:43,2018/4/20 19:51,000000021:å@ÇËÇ≤ÇΩÇ¬9,3,2,1,15,10558,778,ìoò^Ç»Çµ
225,No:201900300000598,2018/4/20,ã‡,2018/4/20 19:05,2018/4/20 21:32,000000010:ÉeÅ[ÉuÉã1,10,10,0,75,48624,3574,ìoò^Ç»Çµ
226,No:201900300000599,2018/4/20,ã‡,2018/4/20 19:23,2018/4/20 21:15,000000003:ÉJÉEÉìÉ^Å[3,2,0,2,13,7155,525,ìoò^Ç»Çµ
227,No:201900300000600,2018/4/20,ã‡,2018/4/20 19:40,2018/4/20 22:02,000000013:å@ÇËÇ≤ÇΩÇ¬1,3,3,0,14,12664,934,ìoò^Ç»Çµ
228,No:201900300000601,2018/4/20,ã‡,2018/4/20 19:53,2018/4/20 21:43,000000017:å@ÇËÇ≤ÇΩÇ¬5,8,8,0,8,32000,2368,ìoò^Ç»Çµ
229,No:201900300000602,2018/4/20,ã‡,2018/4/20 20:53,2018/4/20 22:40,000000016:å@ÇËÇ≤ÇΩÇ¬4,11,11,0,11,49500,3663,ìoò^Ç»Çµ
230,No:201900300000603,2018/4/20,ã‡,2018/4/20 21:10,2018/4/20 23:01,000000021:å@ÇËÇ≤ÇΩÇ¬9,3,3,0,23,14387,1057,ìoò^Ç»Çµ
231,No:201900300000604,2018/4/20,ã‡,2018/4/20 22:43,2018/4/20 23:10,000000002:ÉJÉEÉìÉ^Å[2,1,1,0,3,1458,108,ìoò^Ç»Çµ
232,No:201900300000605,2018/4/21,ìy,2018/4/21 18:21,2018/4/21 18:57,000000012:ÉeÅ[ÉuÉã3,5,5,0,12,5633,413,ìoò^Ç»Çµ
233,No:201900300000606,2018/4/21,ìy,2018/4/21 18:24,2018/4/21 19:00,000000009:ÉJÉEÉìÉ^Å[9,2,2,0,9,5105,375,ìoò^Ç»Çµ
234,No:201900300000607,2018/4/21,ìy,2018/4/21 18:33,2018/4/21 22:24,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,18,11192,822,ìoò^Ç»Çµ
235,No:201900300000608,2018/4/21,ìy,2018/4/21 18:39,2018/4/21 20:27,000000021:å@ÇËÇ≤ÇΩÇ¬9,4,4,0,29,14321,1051,ìoò^Ç»Çµ
236,No:201900300000609,2018/4/21,ìy,2018/4/21 18:55,2018/4/21 20:05,000000007:ÉJÉEÉìÉ^Å[7,1,1,0,9,6952,512,ìoò^Ç»Çµ
237,No:201900300000610,2018/4/21,ìy,2018/4/21 19:13,2018/4/21 20:52,000000013:å@ÇËÇ≤ÇΩÇ¬1,20,20,0,20,100000,7400,ìoò^Ç»Çµ
238,No:201900300000611,2018/4/21,ìy,2018/4/21 19:14,2018/4/21 21:08,000000018:å@ÇËÇ≤ÇΩÇ¬6,15,15,0,29,84152,6222,ìoò^Ç»Çµ
239,No:201900300000612,2018/4/21,ìy,2018/4/21 19:24,2018/4/21 20:51,000000010:ÉeÅ[ÉuÉã1,4,3,1,30,20747,1527,ìoò^Ç»Çµ
240,No:201900300000613,2018/4/21,ìy,2018/4/21 19:43,2018/4/21 20:39,000000002:ÉJÉEÉìÉ^Å[2,1,1,0,6,3021,221,ìoò^Ç»Çµ
241,No:201900300000614,2018/4/21,ìy,2018/4/21 19:49,2018/4/21 21:06,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,11,6378,468,ìoò^Ç»Çµ
242,No:201900300000615,2018/4/21,ìy,2018/4/21 19:55,2018/4/21 22:59,000000017:å@ÇËÇ≤ÇΩÇ¬5,3,1,2,30,18889,1389,ìoò^Ç»Çµ
243,No:201900300000616,2018/4/21,ìy,2018/4/21 20:19,2018/4/21 20:54,000000007:ÉJÉEÉìÉ^Å[7,2,2,0,8,4587,337,ìoò^Ç»Çµ
244,No:201900300000617,2018/4/21,ìy,2018/4/21 21:03,2018/4/21 22:57,000000012:ÉeÅ[ÉuÉã3,5,5,0,39,21647,1587,ìoò^Ç»Çµ
245,No:201900300000618,2018/4/21,ìy,2018/4/21 21:10,2018/4/21 22:50,000000001:ÉJÉEÉìÉ^Å[1,2,1,1,14,9402,692,ìoò^Ç»Çµ
246,No:201900300000619,2018/4/22,ì˙,2018/4/22 18:15,2018/4/22 20:05,000000013:å@ÇËÇ≤ÇΩÇ¬1,3,3,0,15,9908,728,ìoò^Ç»Çµ
247,No:201900300000620,2018/4/22,ì˙,2018/4/22 18:26,2018/4/22 21:36,000000001:ÉJÉEÉìÉ^Å[1,1,1,0,0,0,0,ìoò^Ç»Çµ
248,No:201900300000621,2018/4/22,ì˙,2018/4/22 18:48,2018/4/22 20:08,000000014:å@ÇËÇ≤ÇΩÇ¬2,4,4,0,21,13524,994,ìoò^Ç»Çµ
249,No:201900300000622,2018/4/22,ì˙,2018/4/22 20:25,2018/4/22 21:33,000000010:ÉeÅ[ÉuÉã1,2,2,0,14,7954,584,ìoò^Ç»Çµ
250,No:201900300000623,2018/4/22,ì˙,2018/4/22 18:26,2018/4/22 21:36,000000001:ÉJÉEÉìÉ^Å[1,-1,-1,0,0,0,0,ìoò^Ç»Çµ
251,No:201900300000624,2018/4/23,åé,2018/4/23 18:01,2018/4/23 18:59,000000009:ÉJÉEÉìÉ^Å[9,1,0,1,6,4307,317,ìoò^Ç»Çµ
252,No:201900300000625,2018/4/23,åé,2018/4/23 19:50,2018/4/23 21:29,000000010:ÉeÅ[ÉuÉã1,2,2,0,16,10277,757,ìoò^Ç»Çµ
253,No:201900300000626,2018/4/23,åé,2018/4/23 19:52,2018/4/23 21:26,000000009:ÉJÉEÉìÉ^Å[9,2,2,0,11,8052,592,ìoò^Ç»Çµ
254,No:201900300000627,2018/4/24,âŒ,2018/4/24 19:38,2018/4/24 21:58,000000015:å@ÇËÇ≤ÇΩÇ¬3,2,2,0,18,9325,685,ìoò^Ç»Çµ
255,No:201900300000628,2018/4/24,âŒ,2018/4/24 19:40,2018/4/24 20:29,000000017:å@ÇËÇ≤ÇΩÇ¬5,3,3,0,16,10231,751,ìoò^Ç»Çµ
256,No:201900300000629,2018/4/24,âŒ,2018/4/24 19:44,2018/4/24 21:40,000000016:å@ÇËÇ≤ÇΩÇ¬4,3,3,0,21,13426,986,ìoò^Ç»Çµ
257,No:201900300000630,2018/4/24,âŒ,2018/4/24 19:45,2018/4/24 22:37,000000014:å@ÇËÇ≤ÇΩÇ¬2,3,0,3,22,15759,1159,ìoò^Ç»Çµ
258,No:201900300000631,2018/4/24,âŒ,2018/4/24 20:08,2018/4/24 21:43,000000010:ÉeÅ[ÉuÉã1,8,8,0,46,24076,1766,ìoò^Ç»Çµ
259,No:201900300000632,2018/4/25,êÖ,2018/4/25 18:36,2018/4/25 21:31,000000017:å@ÇËÇ≤ÇΩÇ¬5,7,7,0,32,28955,2135,ìoò^Ç»Çµ
260,No:201900300000633,2018/4/25,êÖ,2018/4/25 19:03,2018/4/25 20:20,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,2,0,14,8569,629,ìoò^Ç»Çµ
261,No:201900300000634,2018/4/25,êÖ,2018/4/25 19:08,2018/4/25 21:26,000000020:å@ÇËÇ≤ÇΩÇ¬8,5,5,0,40,27870,2050,ìoò^Ç»Çµ
262,No:201900300000635,2018/4/25,êÖ,2018/4/25 19:48,2018/4/25 21:40,000000015:å@ÇËÇ≤ÇΩÇ¬3,3,3,0,17,8720,640,ìoò^Ç»Çµ
263,No:201900300000636,2018/4/25,êÖ,2018/4/25 20:10,2018/4/25 21:02,000000008:ÉJÉEÉìÉ^Å[8,1,1,0,7,3734,274,ìoò^Ç»Çµ
264,No:201900300000637,2018/4/26,ñÿ,2018/4/26 17:05,2018/4/26 21:03,000000015:å@ÇËÇ≤ÇΩÇ¬3,4,4,0,20,10522,772,ìoò^Ç»Çµ
265,No:201900300000638,2018/4/26,ñÿ,2018/4/26 17:34,2018/4/26 19:00,000000010:ÉeÅ[ÉuÉã1,3,3,0,20,11170,820,ìoò^Ç»Çµ
266,No:201900300000639,2018/4/26,ñÿ,2018/4/26 17:40,2018/4/26 18:21,000000012:ÉeÅ[ÉuÉã3,3,3,0,12,9736,716,ìoò^Ç»Çµ
267,No:201900300000640,2018/4/26,ñÿ,2018/4/26 17:49,2018/4/26 20:28,000000016:å@ÇËÇ≤ÇΩÇ¬4,4,4,0,30,17646,1296,ìoò^Ç»Çµ
268,No:201900300000641,2018/4/26,ñÿ,2018/4/26 18:41,2018/4/26 22:06,000000013:å@ÇËÇ≤ÇΩÇ¬1,3,2,1,0,0,0,ìoò^Ç»Çµ
269,No:201900300000642,2018/4/26,ñÿ,2018/4/26 19:04,2018/4/26 22:06,000000012:ÉeÅ[ÉuÉã3,2,2,0,15,9424,694,ìoò^Ç»Çµ
270,No:201900300000643,2018/4/26,ñÿ,2018/4/26 19:15,2018/4/26 20:33,000000010:ÉeÅ[ÉuÉã1,2,2,0,12,7708,568,ìoò^Ç»Çµ
271,No:201900300000644,2018/4/26,ñÿ,2018/4/26 19:50,2018/4/26 22:22,000000014:å@ÇËÇ≤ÇΩÇ¬2,3,3,0,25,16611,1221,ìoò^Ç»Çµ
272,No:201900300000645,2018/4/26,ñÿ,2018/4/26 20:13,2018/4/26 22:28,000000009:ÉJÉEÉìÉ^Å[9,2,2,0,17,9918,728,ìoò^Ç»Çµ
273,No:201900300000646,2018/4/26,ñÿ,2018/4/26 20:34,2018/4/26 22:26,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,16,10879,799,ìoò^Ç»Çµ
274,No:201900300000647,2018/4/27,ã‡,2018/4/27 17:59,2018/4/27 20:34,000000013:å@ÇËÇ≤ÇΩÇ¬1,4,2,2,8,22000,1628,ìoò^Ç»Çµ
275,No:201900300000648,2018/4/27,ã‡,2018/4/27 18:01,2018/4/27 21:44,000000010:ÉeÅ[ÉuÉã1,3,1,2,24,14311,1051,ìoò^Ç»Çµ
276,No:201900300000649,2018/4/27,ã‡,2018/4/27 18:05,2018/4/27 19:47,000000017:å@ÇËÇ≤ÇΩÇ¬5,7,7,0,25,13814,1014,ìoò^Ç»Çµ
277,No:201900300000650,2018/4/27,ã‡,2018/4/27 18:11,2018/4/27 19:31,000000009:ÉJÉEÉìÉ^Å[9,2,2,0,12,7253,533,ìoò^Ç»Çµ
278,No:201900300000651,2018/4/27,ã‡,2018/4/27 18:12,2018/4/27 20:15,000000001:ÉJÉEÉìÉ^Å[1,2,2,0,12,9023,663,ìoò^Ç»Çµ
279,No:201900300000652,2018/4/27,ã‡,2018/4/27 18:25,2018/4/27 22:50,000000020:å@ÇËÇ≤ÇΩÇ¬8,6,3,3,42,23958,1758,ìoò^Ç»Çµ
280,No:201900300000653,2018/4/27,ã‡,2018/4/27 18:58,2018/4/27 21:31,000000019:å@ÇËÇ≤ÇΩÇ¬7,3,3,0,16,12902,952,ìoò^Ç»Çµ
281,No:201900300000654,2018/4/27,ã‡,2018/4/27 19:00,2018/4/27 20:48,000000014:å@ÇËÇ≤ÇΩÇ¬2,12,8,4,14,49080,3632,ìoò^Ç»Çµ
282,No:201900300000655,2018/4/27,ã‡,2018/4/27 19:05,2018/4/27 23:14,000000021:å@ÇËÇ≤ÇΩÇ¬9,2,0,2,15,8666,636,ìoò^Ç»Çµ
283,No:201900300000656,2018/4/27,ã‡,2018/4/27 19:18,2018/4/27 19:48,000000004:ÉJÉEÉìÉ^Å[4,4,3,1,11,5342,392,ìoò^Ç»Çµ
284,No:201900300000657,2018/4/27,ã‡,2018/4/27 19:31,2018/4/27 22:16,000000012:ÉeÅ[ÉuÉã3,2,0,2,22,11580,850,ìoò^Ç»Çµ
